Team,AST,G,PTS,SHT,SOG,SOG%,CK,S%,PKM,PKA,YC,OPK,Season PCT,,Team,PCT,,,,,,
Council Bluffs Lincoln,80,99,278,505,282,35.10%,74,19.60%,1,2,3,0,0.81,,Ankeny Centennial,0.864,,,,,,
Waukee Northwest,67,73,213,362,212,34.40%,104,20.20%,2,2,5,0,0.842,,Valley,0.95,,,,,,
Des Moines East,30,40,110,243,117,34.20%,52,16.50%,1,1,2,0,0.368,,Ankeny,0.9,,,,,,
Bettendorf,60,75,210,344,220,34.10%,74,21.80%,2,2,6,0,0.706,,Council Bluffs Lincoln,0.81,,,,,,
Muscatine,52,83,218,382,245,33.90%,112,21.70%,2,2,2,0,0.684,,Linn-Mar,0.842,,,,,,
Ames,18,43,104,288,133,32.30%,40,14.90%,1,4,1,0,0.353,,Waukee Northwest,0.842,,,,,,
Ankeny Centennial,52,71,194,417,226,31.40%,136,17.00%,7,11,4,0,0.864,,Cedar Falls,0.765,,,,,,
Pleasant Valley,52,66,184,373,211,31.30%,73,17.70%,0,1,3,0,0.684,,Muscatine,0.684,,,,,,
Ankeny,54,72,198,440,240,30.00%,142,16.40%,1,1,3,0,0.9,,Pleasant Valley,0.684,,,,,,
Davenport North,10,15,40,105,52,28.80%,31,14.30%,1,1,2,0,0.353,,Bettendorf,0.706,,,,,,
Urbandale,30,49,128,306,181,27.10%,71,16.00%,5,6,1,0,0.444,,Dowling Catholic,0.667,,,,,,
Valley,55,80,215,309,315,25.40%,112,25.90%,0,0,0,0,0.95,,Iowa City High,0.75,,,,,,
Dowling Catholic,36,54,144,242,200,27.00%,67,22.30%,1,1,4,0,0.667,,Cedar Rapids Kennedy,0.625,,,,,,
Johnston,27,55,137,242,173,31.80%,81,22.70%,1,2,2,0,0.529,,Mason City,0.588,,,,,,
Iowa City High,40,54,148,289,221,24.40%,72,18.70%,6,9,2,0,0.75,,Sioux City West,0.556,,,,,,
Dubuque Hempstead,23,30,83,204,138,21.70%,39,14.70%,2,2,0,0,0.562,,Des Moines Roosevelt,0.692,,,,,,
Council Bluffs Jefferson,17,24,65,240,136,17.60%,55,10.00%,3,4,7,0,0.412,,Dubuque Hempstead,0.562,,,,,,
Davenport Central,14,17,48,158,106,16.00%,31,10.80%,0,0,-2,0,0.375,,Johnston,0.529,,,,,,
Sioux City West,37,57,151,416,398,14.30%,61,13.70%,5,6,2,0,0.556,,Sioux City North,0.529,,,,,,
Indianola,11,25,61,284,181,13.80%,39,8.80%,1,2,2,0,0.278,,Iowa City West,0.5,,,,,,
Des Moines North,2,6,14,74,52,11.50%,33,8.10%,2,8,1,0,0.067,,Urbandale,0.444,,,,,,
Sioux City North,24,47,118,164,75,62.70%,0,28.70%,1,0,0,0,0.529,,Council Bluffs Jefferson,0.412,,,,,,
Des Moines Roosevelt,45,55,155,234,117,47.00%,47,23.50%,1,1,0,0,0.692,,Des Moines East,0.368,,,,,,
Waukee,27,39,105,141,84,46.40%,24,27.70%,1,2,1,0,0.333,,Sioux City East,0.583,,,,,,
Mason City,58,77,212,314,185,41.60%,62,24.50%,2,2,0,0,0.588,,Southeast Polk,0.438,,,,,,
Linn-Marr,90,111,312,470,295,37.60%,101,23.60%,2,2,0,0,0.842,,Ames,0.353,,,,,,
Des Moines Lincoln,36,52,140,243,143,36.40%,40,21.40%,6,6,2,0,0.333,,Davenport Central,0.375,,,,,,
Marshalltown,1,11,23,71,35,31.40%,4,15.50%,0,1,0,0,0.059,,Davenport North,0.353,,,,,,
Cedar Rapids Kennedy,46,58,162,294,192,30.20%,55,19.70%,0,0,0,0,0.625,,Des Moines Lincoln,0.333,,,,,,
Sioux City East,24,42,108,221,140,30.00%,48,19.00%,0,0,1,0,0.583,,Indianola,0.278,,,,,,
Iowa City West,17,39,95,160,152,25.70%,33,24.40%,1,1,2,0,0.5,,Waukee,0.333,,,,,,
Ottumwa,17,21,59,91,88,23.90%,28,23.10%,1,1,1,0,0.235,,Western Dubuque,0.385,,,,,,
Prairie,13,23,59,185,101,22.80%,37,12.40%,4,3,8,0,0.308,,Dubuque Senior,0.267,,,,,,
Southeast Polk,10,32,74,163,147,21.80%,72,19.60%,0,8,2,0,0.438,,Ottumwa,0.235,,,,,,
Cedar Rapids Jefferson,3,8,19,43,38,21.10%,16,18.60%,0,0,0,0,0.273,,Prairie,0.308,,,,,,
Dubuque Senior,10,13,36,111,63,20.60%,36,11.70%,1,2,1,0,0.267,,Waterloo East,0.267,,,,,,
Cedar Falls,32,56,144,516,351,16.00%,68,10.90%,11,15,6,0,0.765,,Cedar Rapids Jefferson,0.273,,,,,,
Western Dubuque,10,11,32,179,128,8.60%,29,6.10%,0,0,1,0,0.385,,Des Moines North,0.067,,,,,,
Waterloo East,2,8,18,208,98,8.20%,52,3.80%,0,0,0,0,0.267,,Marshalltown,0.059,,,,,,
Fort Dodge,0,0,0,0,0,0.00%,0,0.00%,0,0,0,0,0,,Fort Dodge,0,,,,,,
